	trees_s0.0_r5_scale0.001_rep3.variants.tsv
summarized	[('Other', 0.999999999998297)]
lineages	auto.L.1.2 auto.L.1.3 auto.L.1 L.1.1XL.3_low_1
abundances	0.60427803 0.15999652 0.15999652 0.07572893
resid	3.798594746177378e-12
coverage	100.0
