	trees_s0.3_r5_scale0.001_rep1.variants.tsv
summarized	[('Other', 0.9999999999308422)]
lineages	auto.L.2.2 auto.L.2.1.2 auto.L.2.1.1 auto.L.2.1 auto.L.2 L.1XL.2.1.2_low_1
abundances	0.18779511 0.18779511 0.18779511 0.18779511 0.18779511 0.06102447
resid	1.026578125300488e-10
coverage	100.0
