	trees_s0.7_r5_scale0.1_rep1.variants.tsv
summarized	[('Other', 0.9999999999997465)]
lineages	auto.L.1.1.3 L.1.1.1.1XL.1.1.2.1_high_1 auto.L.1.2 auto.L.1.1.2.1
abundances	0.37714096 0.36526824 0.13111208 0.12647873
resid	3.554499254254314e-12
coverage	100.0
