	trees_s0.6_r2_scale0.001_rep3.variants.tsv
summarized	[('Other', 1.000000000004628)]
lineages	auto.L.1.4 auto.L.1.3 auto.L.1.2.1 auto.L.1.2 auto.L.1.1.2 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1XL.1.4_high_1
abundances	0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
resid	4.62817258218484e-12
coverage	100.0
