	trees_s0.6_r2_scale0.1_rep2.variants.tsv
summarized	[('Other', 0.9999999999999043)]
lineages	auto.L.1.1.2 L.1XL.1.2.1_high_1 L.1XL.1.1.2_low_1 L auto.L.1.1
abundances	0.35437584 0.28980185 0.19533192 0.14298265 0.01750774
resid	4.6415228999280755e-12
coverage	100.0
