	trees_s0.9_r1_scale0.0001_rep3.variants.tsv
summarized	[('Other', 0.9999999999999998)]
lineages	auto.L.1.4 auto.L.1.3.1 auto.L.1.3 auto.L.1.2 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1XL.1.1.1_high_1 L
abundances	0.51293715 0.06088286 0.06088286 0.06088286 0.06088286 0.06088286 0.06088286 0.06088286 0.06088286
resid	7.451816941284051e-13
coverage	100.0
