	trees_s0.5_r4_scale1.0_rep4.variants.tsv
summarized	[('Other', 0.9999999999999896)]
lineages	auto.L.2.1 L.1.1XL.2_high_1 L
abundances	0.93453986 0.06431512 0.00114502
resid	5.542664917747113e-12
coverage	100.0
