	trees_s0.1_r3_scale1.0_rep3.variants.tsv
summarized	[('Other', 0.999999999999999)]
lineages	auto.L.1.1 auto.L.1
abundances	0.92547492 0.07452508
resid	2.3587902544396206e-12
coverage	100.0
