	trees_s0.2_r4_scale10.0_rep5.variants.tsv
summarized	[('Other', 0.999999999999996)]
lineages	L.1.1XL.2.1.1_high_1 auto.L.1.1 L.2XL.2.1_low_1
abundances	0.73928925 0.16199292 0.09871783
resid	2.2894183995361735e-12
coverage	100.0
