	trees_s0.2_r4_scale0.01_rep1.variants.tsv
summarized	[('Other', 0.999999999999638)]
lineages	L.2XL.2.1.1_high_1 auto.L.2
abundances	0.89759004 0.10240996
resid	3.2892020694278914e-12
coverage	100.0
