	trees_s0.2_r4_scale1.0_rep3.variants.tsv
summarized	[('Other', 0.9999999999999994)]
lineages	L.1.1XL.2.2.1_high_1 L.1XL.3_low_1
abundances	0.75632319 0.24367681
resid	7.905809433448025e-13
coverage	100.0
