	trees_s0.4_r5_scale0.1_rep2.variants.tsv
summarized	[('Other', 0.9999999999999836)]
lineages	auto.L.2.1 auto.L.2.2
abundances	0.76103352 0.23896648
resid	9.101500343276262e-13
coverage	100.0
