	trees_s0.2_r4_scale0.01_rep5.variants.tsv
summarized	[('Other', 0.9999999999996149)]
lineages	auto.L.2.1 L.2.2.1XL.3_high_1 L.2.1XL.3_low_1 L
abundances	0.48851560 0.35528302 0.12889217 0.02730921
resid	3.6951154741232955e-12
coverage	100.0
