	trees_s0.0_r5_scale0.001_rep1.variants.tsv
summarized	[('Other', 0.9999999999917137)]
lineages	L.1.1XL.3_low_1 auto.L.2.1
abundances	0.56449911 0.43550089
resid	3.479692764178592e-11
coverage	100.0
