	trees_s0.6_r2_scale1.0_rep2.variants.tsv
summarized	[('Other', 0.9999999999999891)]
lineages	auto.L.1.1.1 auto.L.1.3 L.1.3XL.1.4_low_1 auto.L.1
abundances	0.57454825 0.21856217 0.14368994 0.06319965
resid	3.301921352040661e-12
coverage	100.0
