	trees_s0.5_r4_scale1.0_rep5.variants.tsv
summarized	[('Other', 0.999999999999995)]
lineages	auto.L.2 auto.L.1.1 auto.L.1.3 L.1.1XL.1.2_low_1
abundances	0.36624273 0.35460376 0.25570046 0.02345306
resid	2.3517848364607674e-12
coverage	100.0
