	trees_s0.6_r2_scale1.0_rep3.variants.tsv
summarized	[('Other', 0.999999999999986)]
lineages	L.1.1XL.1.1.2_high_1 auto.L.1.1
abundances	0.95447408 0.04552592
resid	3.2006965989075468e-12
coverage	100.0
