	trees_s0.7_r5_scale0.1_rep3.variants.tsv
summarized	[('Other', 0.9999999999998983)]
lineages	L.1.1.4XL.1.2_low_1 L auto.L.1.1.1.1 L.1.1.1.1XL.1.1.2.1_high_1 auto.L.1.1.1
abundances	0.37359770 0.22964486 0.19755531 0.16063471 0.03856743
resid	3.795879522217867e-12
coverage	100.0
