	trees_s0.9_r1_scale1.0_rep4.variants.tsv
summarized	[('Other', 0.9999999999999806)]
lineages	auto.L.1.2 L auto.L.1.3 auto.L.1.4 auto.L.1.1.1
abundances	0.49785606 0.31445583 0.08291585 0.07886654 0.02590572
resid	4.132387735986275e-12
coverage	100.0
