	trees_s0.6_r2_scale10.0_rep2.variants.tsv
summarized	[('Other', 0.9999999999999876)]
lineages	L.1.1.1XL.1.2.1_low_1 auto.L.1.1 auto.L.1.2.1 auto.L.1.1.1.1 auto.L.1.1.1
abundances	0.31122718 0.29526633 0.19149210 0.14841131 0.05360307
resid	3.179664505552689e-12
coverage	100.0
