	trees_s0.0_r5_scale0.1_rep2.variants.tsv
summarized	[('Other', 0.9999999999999601)]
lineages	L.1.2XL.2.1_high_1 L.1.3XL.2_low_1 L.1XL.2_high_1 auto.L.3 auto.L.1.1.1
abundances	0.38421808 0.38388249 0.11097055 0.09716547 0.02376342
resid	3.628202955127167e-12
coverage	100.0
