	trees_s0.5_r4_scale0.001_rep2.variants.tsv
summarized	[('Other', 0.9999999999028306)]
lineages	auto.L.1.3 auto.L.1 L
abundances	0.47168536 0.47168536 0.05662927
resid	1.4485812329731274e-10
coverage	100.0
