	trees_s0.5_r4_scale10.0_rep5.variants.tsv
summarized	[('Other', 1.0)]
lineages	auto.L.1.1.1 L.1XL.1.2.1_high_1
abundances	0.73137570 0.26862430
resid	6.765936854701525e-13
coverage	100.0
