	trees_s0.7_r5_scale0.1_rep4.variants.tsv
summarized	[('Other', 0.9999999999997627)]
lineages	auto.L.1.2 auto.L.1.1.2.2 L.1.1XL.1.1.1.1_high_1 auto.L.1.1.1.1 auto.L.1.1.1
abundances	0.34801023 0.32969352 0.28029169 0.02560907 0.01639550
resid	4.397803147636166e-12
coverage	100.0
