	trees_s1.0_r1_scale0.01_rep1.variants.tsv
summarized	[('Other', 0.9999999999025906)]
lineages	auto.L.1.2.1 auto.L.1.2 auto.L.1 L.1XL.1.1_high_1
abundances	0.30504259 0.30504259 0.30504259 0.08487223
resid	1.8259260197249524e-10
coverage	100.0
