	trees_s0.6_r2_scale1.0_rep1.variants.tsv
summarized	[('Other', 0.9999999999999969)]
lineages	L.1XL.1.4_high_1 auto.L.1 auto.L.1.3
abundances	0.53149676 0.33409489 0.13440835
resid	1.632401497798206e-12
coverage	100.0
