	trees_s1.0_r1_scale10.0_rep2.variants.tsv
summarized	[('Other', 0.9999999999999928)]
lineages	auto.L.1.2.1 L auto.L.1.1.1
abundances	0.89688950 0.05364275 0.04946774
resid	3.652142565939042e-12
coverage	100.0
