	trees_s0.5_r4_scale1.0_rep2.variants.tsv
summarized	[('Other', 0.999999999999991)]
lineages	L.2XL.2.1_high_1 auto.L.2 auto.L.2.1 L.1.1XL.1.2_low_1 auto.L.1
abundances	0.39320598 0.21934871 0.18937185 0.16014624 0.03792722
resid	3.36660358684211e-12
coverage	100.0
