	trees_s0.6_r2_scale1.0_rep4.variants.tsv
summarized	[('Other', 0.9999999999999905)]
lineages	L.1XL.1.4_high_1 auto.L.1.1.2
abundances	0.93247118 0.06752882
resid	2.517461376422433e-12
coverage	100.0
