	trees_s0.3_r5_scale1.0_rep2.variants.tsv
summarized	[('Other', 0.9999999999999898)]
lineages	auto.L.2.1 auto.L.2 L.1.2XL.2_high_1 auto.L.1.2 auto.L.1.1
abundances	0.34081415 0.24304334 0.24248954 0.09083994 0.08281303
resid	3.0757267786820035e-12
coverage	100.0
