	trees_s0.9_r1_scale0.001_rep3.variants.tsv
summarized	[('Other', 0.9999999999926221)]
lineages	auto.L.1.4 auto.L.1.2.2 auto.L.1.2.1 auto.L.1.2 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1XL.1.4_high_1 L
abundances	0.11577529 0.11577529 0.11577529 0.11577529 0.11577529 0.11577529 0.11577529 0.11577529 0.07379764
resid	1.1092533447010741e-11
coverage	100.0
