	trees_s0.1_r3_scale0.01_rep4.variants.tsv
summarized	[('Other', 0.9999999999918753)]
lineages	auto.L.4 L auto.L.5.1 auto.L.5 auto.L.1.1
abundances	0.44696795 0.22085547 0.21149043 0.11633448 0.00435167
resid	2.722649318965594e-11
coverage	100.0
