	trees_s0.3_r5_scale1.0_rep5.variants.tsv
summarized	[('Other', 0.9999999999999932)]
lineages	L auto.L.2 L.1.2XL.2_high_1 auto.L.1.1
abundances	0.31700779 0.29630448 0.23953590 0.14715184
resid	1.8703123128519787e-12
coverage	100.0
