	trees_s0.3_r5_scale0.1_rep5.variants.tsv
summarized	[('Other', 0.9990324127937548)]
lineages	auto.L.2.1.2 L L.1.1XL.1.2_low_1 auto.L.2.2
abundances	0.36557962 0.24618106 0.23431228 0.15295946
resid	4.15695899209661e-12
coverage	100.0
