	trees_s0.2_r4_scale0.1_rep3.variants.tsv
summarized	[('Other', 0.9999999999999644)]
lineages	L.2XL.2.1_high_1 auto.L.1.1
abundances	0.90032323 0.09967677
resid	2.5117282650537772e-12
coverage	100.0
