	trees_s0.3_r5_scale0.1_rep3.variants.tsv
summarized	[('Other', 0.9999999999999929)]
lineages	auto.L.2.1.1 auto.L.2.1 L.1XL.2_high_1
abundances	0.35005466 0.33855002 0.31139532
resid	6.962175134998299e-13
coverage	100.0
