	trees_s0.5_r4_scale0.001_rep3.variants.tsv
summarized	[('Other', 0.9999999997935607)]
lineages	auto.L.1.3 auto.L.1 auto.L.1.1 auto.L.1.1.1
abundances	0.34732238 0.34732238 0.15267762 0.15267762
resid	2.453101461256682e-10
coverage	100.0
