	trees_s0.5_r4_scale0.01_rep5.variants.tsv
summarized	[('Other', 0.9999999999990953)]
lineages	L.1.2.1XL.1.3_high_1 L.2XL.2.1_high_1 auto.L.1
abundances	0.60827636 0.37330706 0.01841658
resid	6.057524459135244e-12
coverage	100.0
