	trees_s0.0_r5_scale10.0_rep1.variants.tsv
summarized	[('Other', 1.0000000000000013)]
lineages	L auto.L.1.3
abundances	0.67475528 0.32524472
resid	5.107279452438443e-13
coverage	100.0
