	trees_s0.6_r2_scale10.0_rep1.variants.tsv
summarized	[('Other', 0.9999999999999948)]
lineages	auto.L.1.1.1.1 auto.L.1.1.1.2
abundances	0.87598764 0.12401236
resid	1.6280113784066899e-12
coverage	100.0
