	trees_s1.0_r1_scale10.0_rep4.variants.tsv
summarized	[('Other', 0.9999999999999916)]
lineages	auto.L.1.2.1 auto.L.1.1 L auto.L.1.3 auto.L.1.1.1
abundances	0.29298121 0.27844153 0.21076170 0.16537637 0.05243918
resid	2.7519808888131697e-12
coverage	100.0
