	trees_s0.0_r5_scale0.001_rep4.variants.tsv
summarized	[('Other', 0.9999999999914974)]
lineages	L.1.3XL.2_high_1 auto.L.2.1
abundances	0.59877317 0.40122683
resid	3.450996369593309e-11
coverage	100.0
