	trees_s1.0_r1_scale0.01_rep3.variants.tsv
summarized	[('Other', 0.9999999999974125)]
lineages	auto.L.1.3 L.1.1.1XL.1.3_low_1 L auto.L.1 auto.L.1.2.1 auto.L.1.2 auto.L.1.1.1 auto.L.1.1
abundances	0.29529054 0.22917679 0.14466794 0.10202504 0.10202504 0.10202504 0.01239481 0.01239481
resid	3.4379826996271263e-12
coverage	100.0
