	trees_s0.2_r4_scale0.0001_rep2.variants.tsv
summarized	[('Other', 0.9999999999999987)]
lineages	auto.L.1.1 L.1.1XL.2.1.1_high_1 auto.L.1 auto.L.3 auto.L.2.2.1 auto.L.2.2 auto.L.2.1.1 auto.L.2.1 auto.L.2 L.2XL.3_high_1 L
abundances	0.28452783 0.28452783 0.28452783 0.01830206 0.01830206 0.01830206 0.01830206 0.01830206 0.01830206 0.01830206 0.01830206
resid	2.2146728895222623e-12
coverage	100.0
