	trees_s0.9_r1_scale0.1_rep2.variants.tsv
summarized	[('Other', 0.9999999999971082)]
lineages	L auto.L.1.4 L.1.1.1XL.1.3_high_1 auto.L.1.2
abundances	0.50914988 0.22412058 0.18373404 0.08299550
resid	1.0169293177207469e-11
coverage	100.0
