	trees_s0.0_r5_scale1.0_rep5.variants.tsv
summarized	[('Other', 0.9999999999999789)]
lineages	auto.L.1.1 auto.L.1.1.1 L
abundances	0.79228966 0.19864792 0.00906242
resid	5.426280694841533e-12
coverage	100.0
