	trees_s0.0_r5_scale0.0001_rep1.variants.tsv
summarized	[('Other', 0.9999999999999983)]
lineages	auto.L.3.2 auto.L.4 auto.L.3.1 auto.L.3 auto.L.2.1 auto.L.2 auto.L.1.1 auto.L.1 L.1XL.2_high_1 L
abundances	0.86181617 0.01535376 0.01535376 0.01535376 0.01535376 0.01535376 0.01535376 0.01535376 0.01535376 0.01535376
resid	8.279044116932255e-12
coverage	100.0
