	trees_s0.7_r5_scale10.0_rep3.variants.tsv
summarized	[('Other', 0.9999999999999993)]
lineages	L.1.1XL.1.1.2_high_1 auto.L.1.1.2.2
abundances	0.56561877 0.43438123
resid	1.8714034568380148e-13
coverage	100.0
