	trees_s0.3_r5_scale0.001_rep3.variants.tsv
summarized	[('Other', 0.9999999999982716)]
lineages	auto.L.1.2 auto.L.1 L.1.2XL.2.1.2_high_1 auto.L.2.2 auto.L.2.1.2 auto.L.2.1.1 auto.L.2.1 auto.L.2
abundances	0.26685675 0.26685675 0.26685675 0.03988595 0.03988595 0.03988595 0.03988595 0.03988595
resid	1.8986833456264195e-12
coverage	100.0
