	trees_s0.7_r5_scale0.1_rep5.variants.tsv
summarized	[('Other', 0.9999999999994285)]
lineages	auto.L.1.1.3 L auto.L.1.1.1.1 auto.L.1.2
abundances	0.40500976 0.34192505 0.16583543 0.08722975
resid	4.20266009613497e-12
coverage	100.0
