	trees_s0.1_r3_scale10.0_rep4.variants.tsv
summarized	[('Other', 0.9999999999999816)]
lineages	L.1.1XL.3_low_1 auto.L.2 auto.L.4 auto.L.5.1 auto.L.1
abundances	0.38407152 0.31303888 0.11938615 0.09218325 0.09132021
resid	3.9075263380219775e-12
coverage	100.0
