	trees_s0.4_r5_scale0.01_rep4.variants.tsv
summarized	[('Other', 0.9999999999819484)]
lineages	L.1.1XL.2.1.1_low_1 auto.L.2.1.1 auto.L.2.1 auto.L.2 auto.L.2.2
abundances	0.35109720 0.24332589 0.23039511 0.08885806 0.08632375
resid	1.6994437026890749e-10
coverage	100.0
