	trees_s0.6_r2_scale10.0_rep3.variants.tsv
summarized	[('Other', 0.9999999999999966)]
lineages	L auto.L.1.1.1
abundances	0.74786517 0.25213483
resid	1.1473680954291561e-12
coverage	100.0
