	trees_s0.6_r2_scale0.01_rep5.variants.tsv
summarized	[('Other', 0.9999999999997125)]
lineages	auto.L.1 auto.L.1.3 auto.L.1.2
abundances	0.52282687 0.45558526 0.02158788
resid	2.361699137952906e-12
coverage	100.0
