	trees_s0.2_r4_scale0.01_rep4.variants.tsv
summarized	[('Other', 0.9999999999994099)]
lineages	L.2XL.2.1.1_high_1 auto.L.2 auto.L.2.1
abundances	0.55903088 0.32339634 0.11757279
resid	2.7122328447046067e-12
coverage	100.0
