	trees_s0.7_r5_scale0.01_rep5.variants.tsv
summarized	[('Other', 0.9999999999905522)]
lineages	L auto.L.1.2 auto.L.1 auto.L.1.1.2.1 auto.L.1.1.2 auto.L.1.1.2.2
abundances	0.68463328 0.09048500 0.09048500 0.06035483 0.06035483 0.01368707
resid	3.1394329143359104e-11
coverage	100.0
