	trees_s0.1_r3_scale0.001_rep5.variants.tsv
summarized	[('Other', 0.9999999999247421)]
lineages	auto.L.5.1 auto.L.5 auto.L.4 L.1XL.5.1_low_1 L
abundances	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000
resid	1.2267919287738596e-10
coverage	100.0
