	trees_s0.3_r5_scale0.1_rep2.variants.tsv
summarized	[('Other', 0.9999999999999583)]
lineages	auto.L.2.1.1 auto.L.2.2 auto.L.1
abundances	0.84699504 0.10701694 0.04598802
resid	4.259171930610849e-12
coverage	100.0
