	trees_s0.1_r3_scale0.01_rep2.variants.tsv
summarized	[('Other', 0.9999999999998651)]
lineages	auto.L.5.1 L.1.1XL.4_low_1 auto.L.4
abundances	0.53286524 0.34389189 0.12324286
resid	1.2755244994504592e-12
coverage	100.0
