	trees_s0.0_r5_scale10.0_rep3.variants.tsv
summarized	[('Other', 0.9999999999999859)]
lineages	L.1XL.2.1_high_1 L auto.L.1.1.1 auto.L.2.1 auto.L.1.2
abundances	0.29865068 0.25988107 0.19999097 0.12423866 0.11723863
resid	3.0218641338556056e-12
coverage	100.0
