	trees_s0.1_r3_scale0.1_rep4.variants.tsv
summarized	[('Other', 0.999999999999961)]
lineages	auto.L.5 auto.L.1 L.2XL.5_low_1 auto.L.4 auto.L.2
abundances	0.56377536 0.21388242 0.13354582 0.08059211 0.00820429
resid	3.684878064144502e-12
coverage	100.0
