	trees_s0.1_r3_scale1.0_rep2.variants.tsv
summarized	[('Other', 1.0)]
lineages	auto.L.3 auto.L.2
abundances	0.56500246 0.43499754
resid	1.7882087831149524e-13
coverage	100.0
