	trees_s0.5_r4_scale1.0_rep3.variants.tsv
summarized	[('Other', 0.9999999999999899)]
lineages	auto.L.1.3 auto.L.1 auto.L.1.2 L.1.1XL.1.2_low_1
abundances	0.41824784 0.40899815 0.10888700 0.06386702
resid	3.012421904822601e-12
coverage	100.0
