	trees_s0.7_r5_scale0.001_rep2.variants.tsv
summarized	[('Other', 0.9999999999997845)]
lineages	auto.L.1.2 auto.L.1.1.3 auto.L.1.1.2.3 auto.L.1.1.2.2 auto.L.1.1.2 auto.L.1.1.1.1 auto.L.1.1.1 auto.L.1.1 auto.L.1 L.1.1.1.1XL.1.1.2.1_low_1 L auto.L.1.1.2.1 L.1.1.1.1XL.1.1.2.1_high_1
abundances	0.08454348 0.08454348 0.08454348 0.08454348 0.08454348 0.08454348 0.08454348 0.08454348 0.08454348 0.08454348 0.08454348 0.06749084 0.00253092
resid	7.929241987243723e-13
coverage	100.0
